cohort_month,month_number,active_customers,cohort_size,retention_pct
2017-01,0,752,752,100.0
2017-01,1,3,752,0.4
2017-01,2,2,752,0.27
2017-01,3,1,752,0.13
2017-01,4,3,752,0.4
2017-01,5,1,752,0.13
2017-01,6,3,752,0.4
2017-01,7,1,752,0.13
2017-01,8,1,752,0.13
2017-01,10,3,752,0.4
2017-01,11,1,752,0.13
2017-01,12,5,752,0.66
2017-01,13,3,752,0.4
2017-01,14,1,752,0.13
2017-01,15,1,752,0.13
2017-01,16,2,752,0.27
2017-01,17,3,752,0.4
2017-01,19,1,752,0.13
2017-02,0,1690,1690,100.0
2017-02,1,4,1690,0.24
2017-02,2,5,1690,0.3
2017-02,3,2,1690,0.12
2017-02,4,7,1690,0.41
2017-02,5,2,1690,0.12
2017-02,6,4,1690,0.24
2017-02,7,3,1690,0.18
2017-02,8,2,1690,0.12
2017-02,9,3,1690,0.18
2017-02,10,2,1690,0.12
2017-02,11,5,1690,0.3
2017-02,12,2,1690,0.12
2017-02,13,3,1690,0.18
2017-02,14,2,1690,0.12
2017-02,15,1,1690,0.06
2017-02,16,1,1690,0.06
2017-02,17,4,1690,0.24
2017-03,0,2571,2571,100.0
2017-03,1,13,2571,0.51
2017-03,2,9,2571,0.35
2017-03,3,10,2571,0.39
2017-03,4,9,2571,0.35
2017-03,5,4,2571,0.16
2017-03,6,4,2571,0.16
2017-03,7,8,2571,0.31
2017-03,8,9,2571,0.35
2017-03,9,2,2571,0.08
2017-03,10,10,2571,0.39
2017-03,11,3,2571,0.12
2017-03,12,6,2571,0.23
2017-03,13,3,2571,0.12
2017-03,14,4,2571,0.16
2017-03,15,6,2571,0.23
2017-03,16,2,2571,0.08
2017-03,17,4,2571,0.16
2017-04,0,2325,2325,100.0
2017-04,1,14,2325,0.6
2017-04,2,5,2325,0.22
2017-04,3,4,2325,0.17
2017-04,4,7,2325,0.3
2017-04,5,6,2325,0.26
2017-04,6,8,2325,0.34
2017-04,7,7,2325,0.3
2017-04,8,7,2325,0.3
2017-04,9,4,2325,0.17
2017-04,10,6,2325,0.26
2017-04,11,2,2325,0.09
2017-04,12,2,2325,0.09
2017-04,13,1,2325,0.04
2017-04,14,2,2325,0.09
2017-04,15,2,2325,0.09
2017-04,16,3,2325,0.13
2017-05,0,3541,3541,100.0
2017-05,1,17,3541,0.48
2017-05,2,17,3541,0.48
2017-05,3,14,3541,0.4
2017-05,4,11,3541,0.31
2017-05,5,12,3541,0.34
2017-05,6,15,3541,0.42
2017-05,7,5,3541,0.14
2017-05,8,9,3541,0.25
2017-05,9,9,3541,0.25
2017-05,10,9,3541,0.25
2017-05,11,12,3541,0.34
2017-05,12,9,3541,0.25
2017-05,13,1,3541,0.03
2017-05,14,7,3541,0.2
2017-05,15,8,3541,0.23
2017-06,0,3102,3102,100.0
2017-06,1,14,3102,0.45
2017-06,2,11,3102,0.35
2017-06,3,12,3102,0.39
2017-06,4,8,3102,0.26
